State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_Yes,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_NFA,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_OTHR
WI,HC.gov,G,All,"24,755",$727 ,$315 ,0.76,0,0,0,0,0,0.75,$546 ,$224 ,0.08,0.06,0.13,0.15,0.17,0.41,0,0.46,0.54,0,0.02,0,0.01,0.75,0.01,0.01,0.2,0.02,0.88,0.1,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0.16,0.08,0.12,0.2,0.16,0.24,0.04
WV,HC.gov,B,All,"6,862",$985 ,$323 ,0.82,0,0,0,0,0,0.82,$810 ,$200 ,0.06,0.05,0.11,0.13,0.19,0.45,0.01,0.45,0.55,0,0.02,0,0.02,0.72,0.01,0.01,0.22,0.02,0.88,0.1,0.42,0.58,N/A,N/A,N/A,N/A,N/A,0.11,0.07,0.15,0.22,0.18,0.24,0.03
WV,HC.gov,S,All,"11,437","$1,067 ",$289 ,0.9,0.75,0.16,0.37,0.21,0,0.9,$861 ,$213 ,0.03,0.05,0.12,0.15,0.2,0.44,0.01,0.42,0.58,0,0.03,0,0.01,0.73,0,0.01,0.21,0.02,0.88,0.1,0.41,0.59,N/A,N/A,N/A,N/A,N/A,0.03,0.22,0.39,0.17,0.08,0.09,0.02
WV,HC.gov,G,All,"1,001","$1,124 ",$704 ,0.66,0,0,0,0,0,0.66,$632 ,$529 ,0.1,0.05,0.16,0.21,0.2,0.27,0,0.47,0.53,*,*,*,0.02,0.78,*,0.02,0.16,0.02,0.92,0.06,0.34,0.66,N/A,N/A,N/A,N/A,N/A,0.22,0.02,0.06,0.22,0.18,0.25,0.05
WY,HC.gov,B,All,"4,632",$680 ,$195 ,0.78,0.03,0,0,0,0.03,0.78,$624 ,$48 ,0.15,0.08,0.23,0.18,0.14,0.22,0,0.51,0.49,0.02,0.01,0,0,0.76,0.01,0.03,0.17,0.04,0.85,0.11,0.8,0.2,N/A,N/A,N/A,N/A,N/A,0.1,0.06,0.1,0.15,0.19,0.31,0.08
WY,HC.gov,S,All,"5,457","$1,062 ",$106 ,0.96,0.94,0.05,0.26,0.63,0,0.96,$995 ,$71 ,0.06,0.1,0.19,0.18,0.17,0.3,0.01,0.42,0.58,0,0.02,0,0.01,0.71,0.01,0.02,0.22,0.07,0.79,0.14,0.76,0.24,N/A,N/A,N/A,N/A,N/A,0,0.64,0.26,0.05,0.01,0.01,0.02
WY,HC.gov,G,All,"16,639",$860 ,$115 ,0.92,0.01,0,0,0,0.01,0.92,$806 ,$58 ,0.17,0.08,0.16,0.16,0.14,0.28,0,0.45,0.55,0.01,0.01,0,0,0.75,0.01,0.02,0.2,0.06,0.81,0.13,0.77,0.23,N/A,N/A,N/A,N/A,N/A,0.03,0.1,0.17,0.27,0.17,0.22,0.03
Total,HC.gov,B,All,"3,029,680",$501 ,$148 ,"2,456,014","42,865",0,0,0,"42,865","2,451,529",$436 ,$73 ,"357,404","271,782","451,380","480,218","565,016","875,286","28,594","1,440,164","1,589,516","34,745","170,094","1,654","172,624","1,467,526","43,976","59,320","1,079,741","290,312","2,013,249","726,119","566,521","2,463,159",N/A,N/A,N/A,N/A,N/A,"332,249","545,078","470,728","589,250","447,566","513,643","131,166"
Total,HC.gov,S,All,"4,600,587",$638 ,$115 ,"4,386,580","4,178,781","348,202","1,027,009","2,801,031","2,539","4,376,874",$550 ,$90 ,"321,867","510,120","676,200","768,983","959,589","1,266,573","97,255","1,983,595","2,616,992","6,273","318,108","3,988","313,599","1,757,643","79,360","62,929","2,058,687","689,151","2,593,835","1,317,601","767,575","3,833,012",N/A,N/A,N/A,N/A,N/A,"77,068","2,782,980","1,047,106","359,083","117,059","108,579","108,712"
Total,HC.gov,G,All,"553,900",$698 ,$336 ,"396,813","2,682",0,0,0,"2,682","396,152",$507 ,$221 ,"80,720","40,889","82,295","90,797","99,670","155,956","3,573","258,329","295,571","2,956","26,321",424,"23,124","346,592","8,328","13,050","133,105","44,300","434,027","75,573","155,835","398,065",N/A,N/A,N/A,N/A,N/A,"97,285","34,040","46,575","127,965","100,883","113,307","33,845"
Total,SBM,B,All ,"1,221,408",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,SBM,S,All ,"1,960,097",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,SBM,G,All ,"436,919",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total ,All,B,All,"4,251,088",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N/A,N/A,N/A,N/A,NR,NR,NR,NR,NR,NR,NR,NR
Total ,All,S,All,"6,560,684",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N/A,N/A,N/A,N/A,NR,NR,NR,NR,NR,NR,NR,NR
Total ,All,G,All ,"990,819",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N/A,N/A,N/A,N/A,NR,NR,NR,NR,NR,NR,NR,NR
AK,HC.gov,All,01-atv,"10,117",$711 ,$169 ,0.85,0.22,0.01,0.08,0.08,0.06,0.84,$645 ,$91 ,0.15,0.05,0.15,0.19,0.17,0.27,0.01,0.46,0.54,0.05,0.07,0,0.01,0.67,0.01,0.04,0.14,0.04,0.87,0.09,0.51,0.49,+,0.47,0.17,0.36,+,0.11,0.1,0.19,0.2,0.16,0.2,0.04
AK,HC.gov,All,02-aut,"4,140",$712 ,$264 ,0.7,0.17,0.02,0.07,0.06,0.02,0.69,$648 ,$88 ,0.12,0.07,0.19,0.17,0.17,0.24,0.03,0.48,0.52,0.02,0.08,0,0.01,0.64,0.02,0.03,0.19,0.05,0.8,0.15,0.49,0.51,+,0.47,0.2,0.34,+,0.15,0.12,0.22,0.17,0.13,0.14,0.06
AK,HC.gov,All,03-new,"3,927",$646 ,$197 ,0.79,0.17,0.01,0.08,0.07,0.03,0.78,$578 ,$97 ,0.14,0.09,0.24,0.17,0.16,0.19,0.01,0.49,0.51,0.02,0.07,0.01,0.01,0.57,0.02,0.04,0.25,0.07,0.77,0.16,0.48,0.52,+,0.44,0.15,0.4,+,0.14,0.1,0.23,0.18,0.15,0.15,0.05
AL,HC.gov,All,01-atv,"94,805",$766 ,$106 ,0.95,0.72,0.1,0.22,0.41,0,0.94,$699 ,$79 ,0.02,0.09,0.16,0.18,0.22,0.32,0.01,0.4,0.6,0,0.07,0,0.15,0.64,0.01,0.02,0.1,0.03,0.92,0.05,0.28,0.72,0.01,0.11,0.84,0.04,+,0.02,0.42,0.24,0.13,0.08,0.08,0.03
AL,HC.gov,All,02-aut,"37,884",$714 ,$175 ,0.81,0.63,0.07,0.16,0.39,0,0.81,$667 ,$64 ,0.03,0.11,0.2,0.19,0.21,0.26,0.01,0.42,0.58,0.01,0.03,0,0.2,0.53,0.01,0.02,0.21,0.03,0.8,0.17,0.3,0.7,0.01,0.15,0.81,0.04,+,0.03,0.45,0.2,0.11,0.06,0.06,0.08
AL,HC.gov,All,03-new,"36,430",$647 ,$107 ,0.9,0.67,0.07,0.19,0.41,0,0.9,$601 ,$67 ,0.03,0.15,0.23,0.2,0.19,0.2,0,0.43,0.57,0,0.05,0,0.21,0.49,0.01,0.02,0.22,0.03,0.82,0.15,0.25,0.75,0.03,0.17,0.76,0.05,+,0.02,0.45,0.23,0.12,0.06,0.07,0.06
AR,HC.gov,All,01-atv,"30,084",$574 ,$181 ,0.9,0.55,0.15,0.25,0.14,0.01,0.89,$439 ,$146 ,0.09,0.06,0.12,0.15,0.19,0.38,0.01,0.43,0.57,0.01,0.04,0,0.04,0.63,0.01,0.02,0.25,0.04,0.89,0.07,0.38,0.62,+,0.28,0.7,0.02,+,0.06,0.15,0.29,0.22,0.13,0.12,0.02
AR,HC.gov,All,02-aut,"22,365",$539 ,$214 ,0.78,0.55,0.11,0.24,0.2,0.01,0.78,$416 ,$128 ,0.09,0.09,0.16,0.16,0.19,0.29,0.02,0.44,0.56,0.01,0.03,0,0.07,0.63,0.01,0.02,0.22,0.04,0.81,0.15,0.4,0.6,+,0.22,0.75,0.03,+,0.08,0.23,0.3,0.17,0.09,0.09,0.04
AR,HC.gov,All,03-new,"13,645",$495 ,$157 ,0.88,0.5,0.11,0.22,0.16,0.01,0.88,$385 ,$122 ,0.09,0.11,0.19,0.17,0.18,0.25,0.01,0.45,0.55,0,0.03,0.01,0.07,0.5,0.01,0.02,0.36,0.04,0.76,0.19,0.35,0.65,+,0.37,0.61,0.02,+,0.06,0.22,0.31,0.18,0.1,0.1,0.03
AZ,HC.gov,All,01-atv,"79,908",$604 ,$208 ,0.82,0.44,0.13,0.18,0.12,0.01,0.81,$486 ,$135 ,0.14,0.07,0.1,0.13,0.18,0.37,0.01,0.45,0.55,0,0.08,0,0.01,0.61,0.03,0.03,0.23,0.15,0.76,0.09,0.1,0.9,0,0.39,0.58,0.03,+,0.14,0.13,0.22,0.22,0.13,0.14,0.03
AZ,HC.gov,All,02-aut,"43,459",$577 ,$261 ,0.7,0.42,0.1,0.17,0.14,0.01,0.69,$457 ,$130 ,0.16,0.09,0.14,0.14,0.17,0.29,0.02,0.46,0.54,0.01,0.07,0,0.02,0.56,0.03,0.03,0.29,0.17,0.66,0.16,0.1,0.9,0.01,0.36,0.6,0.04,+,0.19,0.16,0.23,0.18,0.1,0.09,0.05
AZ,HC.gov,All,03-new,"31,137",$525 ,$191 ,0.79,0.41,0.11,0.17,0.13,0,0.79,$425 ,$119 ,0.15,0.1,0.16,0.14,0.18,0.27,0.01,0.47,0.53,0.01,0.07,0,0.03,0.48,0.02,0.03,0.36,0.16,0.63,0.21,0.09,0.91,0.01,0.45,0.52,0.03,+,0.14,0.15,0.23,0.21,0.11,0.12,0.04
CA,SBM,All,01-atv,"438,515",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.08,0.15,0.14,0.22,0.34,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.25,0.63,0.08,NR,NR,0.19,0.29,0.16,0.13,0.13,0.1
CA,SBM,All,02-aut,"937,752",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.09,0.18,0.16,0.2,0.29,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.32,0.53,0.1,NR,NR,0.15,0.29,0.15,0.13,0.14,0.14
CA,SBM,All,03-new,"249,279",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.12,0.24,0.16,0.18,0.21,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.34,0.5,0.1,NR,NR,0.15,0.29,0.15,0.13,0.14,0.14
CO,SBM,All,01-atv,"67,130",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.07,0.14,0.15,0.17,0.32,0.06,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.52,0.4,0.07,NR,NR,0.1,0.19,0.14,0.14,0.2,0.22
CO,SBM,All,02-aut,"81,744",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.1,0.07,0.19,0.17,0.17,0.24,0.05,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.53,0.38,0.07,NR,NR,0.08,0.18,0.15,0.13,0.16,0.3
CO,SBM,All,03-new,"30,733",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.09,0.24,0.17,0.15,0.21,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.48,0.38,0.1,NR,NR,0.08,0.18,0.13,0.13,0.16,0.32
CT,SBM,All,01-atv,"22,511",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.05,0.08,0.12,0.13,0.2,0.4,0.03,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.35,0.56,0.09,NR,NR,0.08,0.18,0.16,0.12,0.19,0.26
CT,SBM,All,02-aut,"63,379",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.08,0.08,0.13,0.13,0.2,0.36,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.49,0.43,0.06,NR,NR,0.07,0.16,0.12,0.1,0.16,0.38
CT,SBM,All,03-new,"19,056",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.11,0.24,0.15,0.18,0.25,0.02,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.35,0.5,0.12,NR,NR,0.08,0.17,0.14,0.1,0.16,0.35
DC,SBM,All,01-atv,933,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.08,0.03,0.29,0.27,0.17,0.15,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.34,0.24,0.27,NR,NR,0.01,0,0.03,0.03,0.03,0.9
DC,SBM,All,02-aut,"12,799",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.05,0.27,0.23,0.16,0.16,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.28,0.26,0.23,NR,NR,0,0.01,0.03,0.02,0.02,0.92
DC,SBM,All,03-new,"3,215",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.1,0.43,0.19,0.11,0.08,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.31,0.22,0.26,NR,NR,0,0.01,0.03,0.02,0.02,0.91
DE,HC.gov,All,01-atv,"12,973",$695 ,$199 ,0.84,0.24,0.02,0.13,0.08,0,0.84,$588 ,$124 ,0.12,0.06,0.12,0.15,0.18,0.35,0.01,0.44,0.56,0,0.1,0,0.08,0.61,0.02,0.02,0.18,0.05,0.87,0.07,0.25,0.75,0,0.32,0.25,0.4,0.03,0.11,0.09,0.2,0.19,0.16,0.21,0.03
DE,HC.gov,All,02-aut,"7,386",$664 ,$229 ,0.76,0.3,0.04,0.14,0.13,0,0.76,$575 ,$101 ,0.12,0.08,0.16,0.15,0.18,0.3,0.02,0.46,0.54,0,0.07,0,0.1,0.52,0.02,0.02,0.26,0.07,0.78,0.15,0.24,0.76,0.01,0.3,0.36,0.3,0.03,0.13,0.16,0.23,0.18,0.12,0.12,0.06
DE,HC.gov,All,03-new,"4,961",$638 ,$216 ,0.81,0.23,0.01,0.13,0.08,0,0.81,$524 ,$130 ,0.11,0.1,0.19,0.16,0.17,0.26,0.01,0.46,0.54,0,0.08,0,0.13,0.47,0.02,0.02,0.27,0.06,0.8,0.14,0.24,0.76,0.02,0.32,0.23,0.39,0.04,0.11,0.1,0.23,0.19,0.14,0.17,0.05
FL,HC.gov,All,01-atv,"1,247,066",$620 ,$91 ,0.96,0.69,0.02,0.11,0.56,0,0.96,$549 ,$73 ,0.07,0.11,0.12,0.16,0.23,0.29,0.02,0.44,0.56,0,0.03,0,0.05,0.31,0.02,0.01,0.57,0.25,0.37,0.38,0.03,0.97,0,0.27,0.7,0.02,0,0.02,0.63,0.16,0.08,0.05,0.05,0.01
FL,HC.gov,All,02-aut,"362,202",$605 ,$174 ,0.85,0.5,0.03,0.1,0.37,0,0.85,$509 ,$96 ,0.07,0.12,0.18,0.17,0.2,0.24,0.02,0.46,0.54,0,0.02,0,0.07,0.33,0.02,0.01,0.54,0.15,0.42,0.43,0.05,0.95,0,0.39,0.56,0.04,0.01,0.05,0.54,0.16,0.1,0.05,0.05,0.04
FL,HC.gov,All,03-new,"511,082",$541 ,$84 ,0.94,0.57,0.02,0.09,0.46,0,0.94,$484 ,$59 ,0.09,0.14,0.17,0.18,0.2,0.2,0.02,0.48,0.52,0,0.02,0,0.07,0.22,0.01,0.01,0.66,0.16,0.33,0.51,0.03,0.97,0.01,0.39,0.58,0.02,0,0.03,0.63,0.16,0.08,0.04,0.04,0.02
GA,HC.gov,All,01-atv,"287,094",$605 ,$118 ,0.92,0.69,0.04,0.14,0.5,0,0.92,$531 ,$81 ,0.07,0.11,0.13,0.17,0.23,0.28,0.02,0.44,0.56,0,0.18,0,0.13,0.33,0.01,0.02,0.33,0.08,0.75,0.17,0.13,0.87,0,0.2,0.73,0.07,0,0.05,0.53,0.18,0.08,0.07,0.06,0.03
GA,HC.gov,All,02-aut,"92,011",$595 ,$218 ,0.75,0.54,0.05,0.13,0.37,0,0.75,$505 ,$102 ,0.07,0.11,0.18,0.17,0.2,0.23,0.02,0.43,0.57,0,0.06,0,0.2,0.37,0.01,0.02,0.33,0.07,0.7,0.24,0.15,0.85,0.01,0.23,0.69,0.07,0,0.1,0.46,0.17,0.09,0.06,0.05,0.07
GA,HC.gov,All,03-new,"138,008",$530 ,$118 ,0.88,0.59,0.03,0.12,0.44,0,0.88,$469 ,$70 ,0.07,0.14,0.19,0.18,0.21,0.19,0.01,0.45,0.55,0,0.08,0,0.19,0.24,0.01,0.01,0.46,0.06,0.63,0.3,0.13,0.87,0.01,0.29,0.62,0.08,0,0.06,0.53,0.17,0.08,0.06,0.05,0.05
HI,HC.gov,All,01-atv,"11,173",$661 ,$187 ,0.85,0.33,0.02,0.1,0.2,0,0.84,$562 ,$129 ,0.05,0.05,0.11,0.18,0.23,0.38,0.01,0.43,0.57,0,0.34,0.03,0,0.36,0.08,0.13,0.07,0.05,0.91,0.04,0.35,0.65,0.01,0.26,0.34,0.3,0.09,0.09,0.14,0.24,0.18,0.09,0.12,0.14
HI,HC.gov,All,02-aut,"6,749",$604 ,$210 ,0.73,0.39,0.02,0.08,0.29,0,0.73,$542 ,$92 ,0.05,0.07,0.16,0.21,0.21,0.26,0.03,0.43,0.57,0,0.25,0.05,0,0.24,0.18,0.12,0.15,0.05,0.83,0.12,0.32,0.68,0.02,0.25,0.45,0.23,0.06,0.1,0.16,0.2,0.13,0.07,0.07,0.27
HI,HC.gov,All,03-new,"4,981",$568 ,$175 ,0.79,0.38,0.01,0.07,0.29,0,0.79,$498 ,$105 ,0.06,0.08,0.18,0.22,0.21,0.24,0.01,0.44,0.56,0,0.28,0.07,0.01,0.26,0.15,0.11,0.12,0.05,0.86,0.09,0.31,0.69,0.02,0.28,0.39,0.23,0.08,0.09,0.14,0.2,0.14,0.06,0.09,0.27
IA,HC.gov,All,01-atv,"34,238",$662 ,$131 ,0.89,0.25,0.02,0.13,0.1,0,0.89,$596 ,$81 ,0.04,0.06,0.14,0.16,0.18,0.42,0.01,0.45,0.55,0,0.03,0,0.01,0.73,0.01,0.01,0.21,0.03,0.86,0.11,0.5,0.5,0,0.42,0.26,0.32,+,0.07,0.12,0.24,0.19,0.14,0.22,0.02
IA,HC.gov,All,02-aut,"13,705",$717 ,$269 ,0.81,0.35,0.05,0.16,0.13,0,0.81,$557 ,$179 ,0.05,0.08,0.19,0.17,0.17,0.31,0.02,0.47,0.53,0,0.03,0,0.03,0.66,0.01,0.01,0.25,0.04,0.76,0.2,0.46,0.54,0.01,0.25,0.43,0.31,+,0.07,0.16,0.27,0.2,0.12,0.14,0.04
IA,HC.gov,All,03-new,"11,285",$566 ,$155 ,0.78,0.18,0.01,0.09,0.08,0,0.78,$525 ,$78 ,0.07,0.1,0.18,0.16,0.17,0.31,0.01,0.48,0.52,0,0.04,0,0.02,0.59,0.01,0.01,0.33,0.03,0.76,0.21,0.45,0.55,0.01,0.44,0.19,0.36,+,0.15,0.11,0.22,0.17,0.11,0.21,0.04
ID,SBM,All,01-atv,"21,141",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.08,0.14,0.17,0.14,0.26,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.52,0.44,0.04,NR,NR,NR,NR,NR,NR,NR,NR
ID,SBM,All,02-aut,"36,012",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.2,0.08,0.13,0.15,0.15,0.28,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.72,0.19,0.08,NR,NR,NR,NR,NR,NR,NR,NR
ID,SBM,All,03-new,"11,679",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.16,0.12,0.19,0.15,0.15,0.23,0,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.67,0.24,0.07,NR,NR,NR,NR,NR,NR,NR,NR
IL,HC.gov,All,01-atv,"153,279",$653 ,$229 ,0.87,0.41,0.06,0.17,0.18,0,0.87,$490 ,$181 ,0.06,0.07,0.14,0.15,0.2,0.36,0.01,0.46,0.54,0,0.12,0,0.03,0.63,0.02,0.02,0.19,0.07,0.83,0.09,0.15,0.85,0,0.44,0.49,0.07,+,0.08,0.19,0.25,0.16,0.11,0.17,0.04
IL,HC.gov,All,02-aut,"81,130",$626 ,$295 ,0.72,0.39,0.07,0.16,0.16,0,0.72,$459 ,$188 ,0.07,0.08,0.19,0.16,0.19,0.29,0.02,0.48,0.52,0,0.08,0,0.05,0.57,0.02,0.02,0.25,0.09,0.74,0.17,0.13,0.87,0,0.4,0.52,0.08,+,0.13,0.19,0.25,0.15,0.09,0.13,0.06
IL,HC.gov,All,03-new,"56,806",$546 ,$213 ,0.81,0.41,0.05,0.16,0.19,0,0.81,$413 ,$154 ,0.06,0.1,0.22,0.17,0.18,0.25,0.01,0.49,0.51,0,0.12,0,0.06,0.47,0.02,0.02,0.31,0.09,0.72,0.19,0.1,0.9,0.01,0.44,0.48,0.07,+,0.11,0.22,0.25,0.15,0.09,0.13,0.06
IN,HC.gov,All,01-atv,"73,990",$597 ,$268 ,0.74,0.39,0.09,0.18,0.12,0,0.74,$444 ,$177 ,0.1,0.06,0.11,0.15,0.18,0.39,0.01,0.45,0.55,0,0.06,0,0.02,0.67,0.01,0.01,0.22,0.03,0.87,0.1,0.26,0.74,+,0.4,0.58,0.02,+,0.2,0.13,0.21,0.14,0.14,0.14,0.03
IN,HC.gov,All,02-aut,"38,206",$592 ,$350 ,0.58,0.37,0.08,0.16,0.13,0,0.58,$417 ,$181 ,0.11,0.08,0.15,0.15,0.18,0.32,0.01,0.48,0.52,0,0.03,0,0.04,0.64,0.01,0.01,0.27,0.03,0.78,0.19,0.25,0.75,+,0.32,0.63,0.05,+,0.27,0.16,0.21,0.12,0.09,0.1,0.05
IN,HC.gov,All,03-new,"24,397",$527 ,$215 ,0.79,0.38,0.07,0.18,0.14,0,0.78,$398 ,$146 ,0.1,0.09,0.18,0.16,0.17,0.28,0.01,0.46,0.54,0,0.06,0,0.05,0.52,0.01,0.01,0.35,0.04,0.74,0.22,0.22,0.78,+,0.48,0.5,0.03,+,0.14,0.18,0.25,0.15,0.12,0.13,0.04
KS,HC.gov,All,01-atv,"51,220",$654 ,$169 ,0.9,0.45,0.04,0.12,0.28,0.01,0.9,$541 ,$121 ,0.09,0.08,0.14,0.16,0.17,0.34,0.01,0.45,0.55,0.01,0.06,0,0.02,0.67,0.01,0.03,0.19,0.07,0.84,0.1,0.38,0.62,0,0.33,0.47,0.2,+,0.06,0.33,0.2,0.15,0.12,0.12,0.03
KS,HC.gov,All,02-aut,"18,860",$617 ,$237 ,0.77,0.38,0.04,0.1,0.23,0.01,0.76,$497 ,$125 ,0.1,0.1,0.19,0.17,0.16,0.25,0.02,0.47,0.53,0.01,0.04,0,0.03,0.62,0.01,0.02,0.26,0.07,0.75,0.18,0.35,0.65,0.01,0.32,0.46,0.22,+,0.09,0.32,0.2,0.13,0.09,0.09,0.07
KS,HC.gov,All,03-new,"18,547",$569 ,$154 ,0.85,0.43,0.03,0.12,0.27,0.01,0.85,$489 ,$94 ,0.09,0.13,0.19,0.17,0.17,0.24,0.01,0.46,0.54,0.01,0.05,0,0.04,0.51,0.01,0.02,0.36,0.07,0.7,0.23,0.29,0.71,0.02,0.41,0.46,0.12,+,0.07,0.37,0.2,0.13,0.09,0.08,0.06
KY,HC.gov,All,01-atv,"42,956",$624 ,$189 ,0.83,0.36,0.09,0.18,0.09,0,0.82,$528 ,$122 ,0.11,0.06,0.12,0.15,0.18,0.38,0.01,0.44,0.56,0,0.04,0,0.02,0.72,0.01,0.01,0.2,0.02,0.88,0.1,0.44,0.56,0,0.49,0.44,0.06,+,0.13,0.1,0.24,0.21,0.14,0.15,0.03
KY,HC.gov,All,02-aut,"20,121",$617 ,$248 ,0.72,0.38,0.08,0.17,0.14,0,0.71,$516 ,$127 ,0.1,0.08,0.16,0.16,0.18,0.3,0.02,0.47,0.53,0,0.03,0,0.04,0.68,0.01,0.01,0.22,0.02,0.81,0.17,0.46,0.54,0.01,0.42,0.51,0.06,+,0.14,0.19,0.26,0.17,0.09,0.1,0.05
KY,HC.gov,All,03-new,"14,744",$533 ,$162 ,0.82,0.32,0.06,0.15,0.11,0,0.82,$453 ,$101 ,0.11,0.09,0.18,0.16,0.18,0.27,0.01,0.47,0.53,0,0.05,0,0.04,0.59,0.01,0.01,0.3,0.03,0.78,0.19,0.41,0.59,0.01,0.57,0.38,0.04,+,0.11,0.16,0.24,0.2,0.13,0.13,0.03
LA,HC.gov,All,01-atv,"44,477",$763 ,$163 ,0.93,0.52,0.09,0.23,0.2,0,0.92,$649 ,$128 ,0.07,0.06,0.13,0.16,0.2,0.37,0.01,0.42,0.58,0,0.09,0,0.1,0.56,0.01,0.02,0.21,0.04,0.82,0.14,0.16,0.84,+,0.32,0.6,0.08,+,0.05,0.22,0.28,0.16,0.14,0.14,0.02
LA,HC.gov,All,02-aut,"22,690",$749 ,$249 ,0.79,0.46,0.08,0.19,0.18,0,0.79,$635 ,$126 ,0.07,0.07,0.17,0.16,0.19,0.32,0.02,0.44,0.56,0,0.05,0,0.13,0.47,0.01,0.01,0.32,0.04,0.7,0.26,0.18,0.82,+,0.31,0.61,0.07,+,0.07,0.24,0.28,0.15,0.12,0.11,0.04
