State_Abrvtn,Pltfrm,Metal_Lvl,Enrlmt_Stus,Cnsmr,Avg_Prm,Avg_Prm_Aftr_APTC,Cnsmr_Prm_Aftr_APTC_LTEQ10,Cnsmr_Wth_APTC_CSR,CSR_Cnsmr,CSR_Cnsmr_73,CSR_Cnsmr_87,CSR_Cnsmr_94,CSR_Cnsmr_AIAN,APTC_Cnsmr,APTC_Cnsmr_Avg_APTC,APTC_Cnsmr_Avg_Prm_Aftr_APTC,Age_0_17,Age_18_25,Age_26_34,Age_35_44,Age_45_54,Age_55_64,Age_GE65,Male,Female,Hspnc_Yes,AIAN_NonHspnc,ASN_NonHspnc,NHPI_NonHspnc,BLACK_NonHspnc,WHT_NonHspnc,Othr_Race_NonHspnc,Mlt_Race_NonHspnc,Unk_Race_Ethncty,AIAN,ASN,NHPI,BLACK,WHT,Othr_Race,Mlt_Race,Unk_Race,Hspnc_No,Unk_Ethncty,Rrl,Non_Rrl,Ctstrphc,Brnz,Slvr,Gld,Pltnm,FPL_LT100,FPL_100_138,FPL_100_150,FPL_150_200,FPL_200_250,FPL_250_300,FPL_300_400,FPL_400_500,FPL_GT500,FPL_OTHR
RI,SBM,S,All,"12,412",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.09,0.18,0.2,0.21,0.27,0.04,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.23,0.37,0.41,0.12,0.03,0.02,0.01,0.01,0.03
RI,SBM,G,All,"11,791",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.07,0.17,0.18,0.19,0.3,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0,0.01,0.03,0.12,0.23,0.16,0.18,0.06,0.08,0.15
SC,HC.gov,B,All,"154,314",$508 ,$78 ,0.53,0.94,0,0,0,0,0,0.94,$459 ,$53 ,0.11,0.09,0.15,0.16,0.19,0.29,0.01,0.46,0.54,0.05,0,0.03,0,0.09,0.39,0,0.01,0.43,0,0.03,0,0.09,0.42,0.01,0.01,0.44,0.66,0.29,0.18,0.82,N/A,N/A,N/A,N/A,N/A,0.01,0.19,0.23,0.15,0.18,0.14,0.16,0.05,0.05,0.02
SC,HC.gov,S,All,"118,410",$669 ,$103 ,0.23,0.97,0.93,0.08,0.24,0.62,0,0.97,$585 ,$85 ,0.05,0.1,0.16,0.18,0.22,0.28,0.01,0.44,0.56,0.04,0,0.04,0,0.11,0.36,0.01,0.01,0.43,0,0.04,0,0.11,0.38,0.01,0.01,0.45,0.67,0.29,0.19,0.81,N/A,N/A,N/A,N/A,N/A,0.01,0.5,0.62,0.24,0.08,0.02,0.01,0,0,0.01
SC,HC.gov,G,All,"25,199",$705 ,$288 ,0.01,0.88,0,0,0,0,0,0.88,$475 ,$242 ,0.14,0.08,0.14,0.15,0.18,0.3,0,0.46,0.54,0.03,0,0.02,0,0.07,0.54,0,0.01,0.33,0,0.02,0,0.07,0.55,0.01,0.01,0.34,0.78,0.19,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.01,0.06,0.07,0.08,0.25,0.19,0.19,0.07,0.08,0.05
SD,HC.gov,B,All,"18,239",$596 ,$83 ,0.57,0.94,0.06,0,0,0,0.06,0.93,$551 ,$50 ,0.19,0.07,0.15,0.16,0.14,0.28,0,0.5,0.5,0.02,0.05,0.01,0,0.01,0.76,0,0.02,0.12,0.05,0.01,0,0.01,0.77,0.01,0.03,0.12,0.89,0.08,0.64,0.36,N/A,N/A,N/A,N/A,N/A,0.01,0.05,0.06,0.09,0.19,0.2,0.26,0.09,0.09,0.02
SD,HC.gov,S,All,"19,267",$792 ,$75 ,0.35,0.99,0.87,0.17,0.28,0.41,0,0.98,$730 ,$64 ,0.11,0.1,0.18,0.18,0.15,0.28,0,0.45,0.55,0.03,0,0.02,0,0.01,0.78,0,0.01,0.14,0,0.02,0,0.01,0.79,0.01,0.02,0.15,0.87,0.1,0.66,0.34,N/A,N/A,N/A,N/A,N/A,0.01,0.33,0.41,0.28,0.17,0.06,0.05,0.01,0.01,0
SD,HC.gov,G,All,"3,322",$750 ,$209 ,0.02,0.93,0.01,0,0,0,0.01,0.93,$581 ,$178 ,0.24,0.08,0.16,0.16,0.13,0.22,0,0.48,0.52,0.03,0.01,0.02,0,0.01,0.79,0,0.02,0.12,0.01,0.02,0,0.01,0.81,0.01,0.02,0.13,0.9,0.07,0.6,0.4,N/A,N/A,N/A,N/A,N/A,0.01,0.01,0.02,0.03,0.34,0.24,0.23,0.06,0.06,0.02
TN,HC.gov,B,All,"114,261",$560 ,$127 ,0.39,0.86,0,0,0,0,0,0.86,$501 ,$72 ,0.08,0.07,0.16,0.16,0.2,0.33,0.01,0.47,0.53,0.03,0,0.04,0,0.06,0.57,0,0.01,0.28,0,0.04,0,0.06,0.58,0.01,0.02,0.29,0.76,0.21,0.32,0.68,N/A,N/A,N/A,N/A,N/A,0.02,0.15,0.18,0.14,0.16,0.16,0.17,0.05,0.06,0.05
TN,HC.gov,S,All,"153,371",$658 ,$116 ,0.17,0.94,0.86,0.1,0.24,0.52,0,0.94,$576 ,$87 ,0.05,0.09,0.18,0.17,0.21,0.29,0.01,0.46,0.54,0.04,0,0.05,0,0.09,0.48,0.01,0.01,0.33,0,0.05,0,0.09,0.5,0.01,0.01,0.34,0.73,0.23,0.27,0.73,N/A,N/A,N/A,N/A,N/A,0.02,0.42,0.52,0.24,0.1,0.04,0.03,0.01,0.01,0.02
TN,HC.gov,G,All,"5,607",$738 ,$479 ,0,0.66,0,0,0,0,0,0.66,$391 ,$369 ,0.13,0.08,0.23,0.2,0.18,0.18,0,0.46,0.54,0.04,0,0.03,0,0.06,0.68,0.01,0.02,0.17,0,0.03,0,0.06,0.7,0.01,0.02,0.18,0.85,0.11,0.24,0.76,N/A,N/A,N/A,N/A,N/A,0.04,0.03,0.04,0.06,0.15,0.18,0.17,0.08,0.13,0.15
TX,HC.gov,B,All,"482,684",$477 ,$95 ,0.5,0.89,0.01,0,0,0,0.01,0.89,$430 ,$52 ,0.14,0.1,0.14,0.16,0.2,0.25,0.02,0.48,0.52,0.21,0,0.1,0,0.05,0.24,0.01,0.01,0.37,0.01,0.1,0,0.06,0.35,0.02,0.02,0.44,0.49,0.3,0.1,0.9,N/A,N/A,N/A,N/A,N/A,0.02,0.19,0.22,0.14,0.2,0.15,0.14,0.04,0.05,0.05
TX,HC.gov,S,All,"1,177,870",$586 ,$63 ,0.36,0.98,0.95,0.06,0.19,0.7,0,0.98,$533 ,$53 ,0.09,0.13,0.14,0.17,0.21,0.23,0.03,0.44,0.56,0.26,0,0.09,0,0.05,0.14,0,0.01,0.46,0,0.09,0,0.05,0.27,0.02,0.01,0.56,0.37,0.37,0.13,0.87,N/A,N/A,N/A,N/A,N/A,0.02,0.58,0.68,0.19,0.06,0.02,0.01,0,0,0
TX,HC.gov,G,All,"173,467",$596 ,$211 ,0.16,0.84,0,0,0,0,0,0.84,$460 ,$146 ,0.18,0.08,0.15,0.16,0.18,0.24,0.01,0.46,0.54,0.22,0,0.07,0,0.06,0.35,0.01,0.02,0.27,0,0.07,0,0.06,0.48,0.03,0.02,0.34,0.58,0.2,0.2,0.8,N/A,N/A,N/A,N/A,N/A,0.02,0.07,0.09,0.1,0.26,0.18,0.16,0.06,0.08,0.07
UT,HC.gov,B,All,"120,911",$343 ,$72 ,0.53,0.89,0.01,0,0,0,0.01,0.89,$304 ,$41 ,0.3,0.1,0.15,0.16,0.13,0.16,0,0.5,0.5,0.06,0.01,0.02,0,0,0.47,0,0.01,0.41,0.01,0.02,0,0,0.5,0.01,0.02,0.44,0.64,0.3,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0,0.02,0.03,0.07,0.22,0.21,0.26,0.08,0.08,0.05
UT,HC.gov,S,All,"131,124",$464 ,$44 ,0.37,0.99,0.93,0.14,0.27,0.52,0,0.98,$427 ,$38 ,0.27,0.14,0.18,0.16,0.11,0.12,0.01,0.47,0.53,0.09,0,0.03,0,0,0.35,0,0.01,0.51,0,0.03,0,0,0.38,0.01,0.01,0.56,0.52,0.4,0.16,0.84,N/A,N/A,N/A,N/A,N/A,0.03,0.26,0.49,0.27,0.14,0.03,0.02,0,0.01,0
UT,HC.gov,G,All,"4,401",$553 ,$299 ,0,0.79,0,0,0,0,0,0.79,$324 ,$233 ,0.28,0.1,0.18,0.18,0.11,0.14,0,0.47,0.53,0.07,0,0.02,0,0.01,0.65,0.01,0.02,0.22,0,0.02,0,0.01,0.68,0.02,0.02,0.24,0.79,0.14,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0,0.01,0.01,0.05,0.21,0.23,0.21,0.08,0.1,0.11
VA,HC.gov,B,All,"104,390",$495 ,$128 ,0.39,0.85,0,0,0,0,0,0.85,$431 ,$70 ,0.15,0.08,0.14,0.15,0.18,0.28,0.01,0.48,0.52,0.07,0,0.14,0,0.09,0.45,0.01,0.02,0.21,0,0.14,0,0.09,0.48,0.02,0.03,0.23,0.79,0.14,0.15,0.85,N/A,N/A,N/A,N/A,N/A,0.01,0.02,0.05,0.11,0.19,0.19,0.23,0.07,0.08,0.07
VA,HC.gov,S,All,"127,625",$634 ,$63 ,0.34,0.98,0.93,0.16,0.36,0.4,0,0.97,$586 ,$49 ,0.08,0.1,0.15,0.16,0.19,0.27,0.04,0.45,0.55,0.08,0,0.17,0,0.09,0.36,0.01,0.02,0.27,0,0.17,0,0.09,0.39,0.03,0.02,0.31,0.73,0.19,0.17,0.83,N/A,N/A,N/A,N/A,N/A,0.03,0.12,0.38,0.37,0.17,0.03,0.02,0,0.01,0.01
VA,HC.gov,G,All,"70,948",$607 ,$227 ,0.04,0.83,0,0,0,0,0,0.83,$456 ,$162 ,0.16,0.08,0.14,0.15,0.18,0.28,0.01,0.46,0.54,0.09,0,0.13,0,0.08,0.48,0.01,0.02,0.19,0,0.13,0,0.08,0.52,0.03,0.03,0.21,0.8,0.12,0.15,0.85,N/A,N/A,N/A,N/A,N/A,0,0.01,0.03,0.07,0.23,0.21,0.22,0.07,0.09,0.08
VT,SBM,B,All,"7,512",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.06,0.2,0.2,0.19,0.27,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.02,0.09,0.16,0.16,0.26,0.11,0.1,0.08
VT,SBM,S,All,"10,718",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.02,0.07,0.16,0.18,0.21,0.35,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0.03,0.13,0.36,0.22,0.11,0.09,0.03,0.03,0.01
VT,SBM,G,All,"6,442",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.07,0.12,0.17,0.19,0.39,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.02,0.11,0.18,0.19,0.23,0.08,0.12,0.07
WA,SBM,B,All,"108,479",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.09,0.07,0.16,0.16,0.18,0.32,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0.02,0.1,0.13,0.13,0.18,0.08,0.12,0.24
WA,SBM,S,All,"96,813",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.03,0.09,0.18,0.18,0.19,0.3,0.04,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.04,0.16,0.34,0.14,0.07,0.07,0.03,0.04,0.09
WA,SBM,G,All,"32,897",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.11,0.07,0.19,0.19,0.18,0.25,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.01,0,0,0.02,0.14,0.12,0.17,0.08,0.14,0.32
WI,HC.gov,B,All,"95,401",$586 ,$173 ,0.25,0.85,0.01,0,0,0,0.01,0.85,$487 ,$120 ,0.07,0.06,0.11,0.13,0.16,0.47,0,0.47,0.53,0.02,0.01,0.02,0,0.01,0.65,0,0.01,0.27,0.01,0.02,0,0.01,0.66,0.01,0.01,0.28,0.82,0.16,0.41,0.59,N/A,N/A,N/A,N/A,N/A,0,0.03,0.04,0.07,0.14,0.16,0.3,0.1,0.12,0.07
WI,HC.gov,S,All,"83,092",$654 ,$98 ,0.29,0.97,0.86,0.14,0.32,0.4,0,0.97,$576 ,$82 ,0.03,0.08,0.16,0.16,0.18,0.39,0.01,0.45,0.55,0.05,0,0.04,0,0.03,0.61,0,0.01,0.25,0,0.04,0,0.04,0.63,0.01,0.01,0.27,0.8,0.16,0.33,0.67,N/A,N/A,N/A,N/A,N/A,0.01,0.28,0.4,0.32,0.14,0.04,0.05,0.01,0.01,0.01
WI,HC.gov,G,All,"30,396",$717 ,$285 ,0.07,0.82,0,0,0,0,0,0.82,$528 ,$221 ,0.09,0.06,0.13,0.15,0.17,0.41,0,0.47,0.53,0.02,0,0.02,0,0.01,0.73,0,0.01,0.2,0,0.02,0,0.01,0.74,0.01,0.01,0.21,0.85,0.12,0.48,0.52,N/A,N/A,N/A,N/A,N/A,0,0.03,0.04,0.08,0.19,0.17,0.24,0.08,0.1,0.1
WV,HC.gov,B,All,"8,476","$1,010 ",$164 ,0.37,0.91,0,0,0,0,0,0.91,$926 ,$100 ,0.07,0.06,0.11,0.14,0.18,0.43,0.01,0.46,0.54,0.02,0,0.02,0,0.02,0.71,0,0.01,0.22,0,0.02,0,0.02,0.72,0.01,0.01,0.22,0.84,0.14,0.44,0.56,N/A,N/A,N/A,N/A,N/A,0,0.01,0.05,0.11,0.18,0.17,0.26,0.08,0.1,0.04
WV,HC.gov,S,All,"10,202","$1,225 ",$154 ,0.18,0.97,0.84,0.15,0.43,0.27,0,0.97,"$1,103 ",$125 ,0.03,0.06,0.13,0.14,0.2,0.43,0.01,0.43,0.57,0.01,0,0.03,0,0.02,0.68,0,0.01,0.24,0,0.03,0,0.02,0.69,0,0.01,0.24,0.85,0.13,0.44,0.56,N/A,N/A,N/A,N/A,N/A,0,0.05,0.27,0.43,0.15,0.06,0.05,0.01,0.01,0.01
WV,HC.gov,G,All,"4,284","$1,227 ",$399 ,0,0.92,0,0,0,0,0,0.92,$899 ,$345 ,0.08,0.06,0.13,0.17,0.21,0.35,0,0.45,0.55,0.02,0,0.01,0,0.02,0.79,0,0.01,0.14,0,0.01,0,0.02,0.8,0.01,0.01,0.14,0.91,0.08,0.39,0.61,N/A,N/A,N/A,N/A,N/A,0,0,0.02,0.07,0.24,0.18,0.25,0.09,0.12,0.04
WY,HC.gov,B,All,"4,772",$679 ,$155 ,0.51,0.86,0.04,0,0,0,0.04,0.85,$613 ,$65 ,0.15,0.08,0.18,0.18,0.15,0.26,0,0.5,0.5,0.04,0.02,0.01,0,0,0.72,0,0.02,0.18,0.03,0.01,0,0,0.74,0.01,0.03,0.18,0.83,0.13,0.79,0.21,N/A,N/A,N/A,N/A,N/A,0.02,0.03,0.05,0.06,0.09,0.13,0.28,0.13,0.18,0.06
WY,HC.gov,S,All,"7,784",$998 ,$42 ,0.47,0.99,0.96,0.05,0.3,0.6,0,0.98,$972 ,$28 ,0.06,0.11,0.2,0.19,0.17,0.26,0.01,0.43,0.57,0.07,0,0.02,0,0,0.7,0,0.02,0.18,0,0.02,0,0,0.73,0.01,0.02,0.2,0.8,0.13,0.77,0.23,N/A,N/A,N/A,N/A,N/A,0.01,0.46,0.6,0.31,0.06,0.01,0.01,0,0,0
WY,HC.gov,G,All,"22,206",$846 ,$89 ,0.56,0.96,0.01,0,0,0,0.01,0.95,$793 ,$58 ,0.18,0.08,0.15,0.16,0.15,0.28,0,0.47,0.53,0.06,0.01,0.01,0,0,0.73,0,0.02,0.17,0.01,0.01,0,0,0.76,0.01,0.02,0.19,0.82,0.13,0.76,0.24,N/A,N/A,N/A,N/A,N/A,0.01,0.04,0.06,0.12,0.25,0.19,0.23,0.07,0.07,0.02
Total,HC.gov,B,All,"3,447,850",$526 ,$125 ,"1,393,125","3,015,762","47,973",0,0,0,"47,973","3,012,440",$459 ,$75 ,"422,555","301,277","495,461","541,655","639,984","1,013,348","33,570","1,664,818","1,783,032","330,188","37,205","165,668","1,595","205,953","1,412,329","19,006","51,580","1,224,326","39,308","166,854","1,873","210,359","1,574,093","52,959","62,347","1,340,057","2,178,481","939,181","634,068","2,813,782",N/A,N/A,N/A,N/A,N/A,"35,509","467,376","583,066","407,346","617,518","541,066","627,241","203,977","230,665","201,462"
Total,HC.gov,S,All,"5,935,531",$623 ,$77 ,"1,780,975","5,773,081","5,431,193","506,333","1,368,120","3,553,409","3,331","5,761,894",$563 ,$62 ,"458,464","663,047","916,364","1,029,976","1,214,575","1,524,912","128,193","2,618,004","3,317,527","886,330","6,472","361,420","3,064","432,739","1,678,556","37,404","56,326","2,473,220","8,835","363,149","3,593","440,464","2,087,552","109,023","73,952","2,848,963","3,095,882","1,953,319","989,015","4,946,516",N/A,N/A,N/A,N/A,N/A,"84,491","2,683,156","3,519,574","1,377,623","512,510","160,045","139,008","40,898","43,594","57,788"
Total,HC.gov,G,All,"804,617",$677 ,$276 ,"73,137","656,909","2,930",0,0,0,"2,930","656,423",$491 ,$202 ,"122,581","61,838","122,114","132,534","143,235","217,564","4,751","375,038","429,579","78,413","3,162","41,906",568,"41,197","426,653","5,415","15,005","192,298","3,672","42,277",653,"42,297","467,224","14,657","18,512","215,325","597,224","128,980","217,721","586,896",N/A,N/A,N/A,N/A,N/A,"10,926","27,216","38,507","62,297","179,562","153,481","161,743","55,897","70,263","71,941"
Total,SBM,B,All ,"1,264,270",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"125,888","97,050","216,304","208,372","230,543","370,968","14,564",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,SBM,S,All ,"2,241,971",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"109,632","195,135","388,792","363,789","443,186","693,545","47,230",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,SBM,G,All ,"598,328",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"60,274","43,527","97,216","100,411","109,692","181,157","5,999",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,All,B,All ,"4,712,120",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"548,443","398,327","711,765","750,027","870,527","1,384,316","48,134",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N/A,N/A,N/A,N/A,N/A,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,All,S,All ,"8,177,502",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"568,096","858,182","1,305,156","1,393,765","1,657,761","2,218,457","175,423",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N/A,N/A,N/A,N/A,N/A,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
Total,All,G,All ,"1,402,945",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,"182,855","105,365","219,330","232,945","252,927","398,721","10,750",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,N/A,N/A,N/A,N/A,N/A,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR
AK,HC.gov,All,01-atv,"13,049",$765 ,$133 ,0.4,0.89,0.24,0.02,0.1,0.08,0.06,0.89,$713 ,$74 ,0.15,0.05,0.15,0.18,0.17,0.27,0.01,0.46,0.54,0.05,0.05,0.07,0,0.01,0.64,0.01,0.04,0.13,0.05,0.07,0,0.01,0.66,0.02,0.04,0.15,0.85,0.11,0.5,0.5,+,0.32,0.2,0.49,+,0.01,0.03,0.08,0.16,0.19,0.15,0.21,0.07,0.09,0.05
AK,HC.gov,All,02-aut,"3,828",$745 ,$209 ,0.44,0.74,0.19,0.02,0.08,0.08,0.02,0.74,$726 ,$47 ,0.12,0.07,0.2,0.18,0.16,0.24,0.03,0.5,0.5,0.06,0.01,0.07,0.01,0.01,0.57,0.01,0.04,0.23,0.01,0.07,0.01,0.01,0.59,0.02,0.04,0.25,0.76,0.18,0.5,0.5,+,0.4,0.22,0.38,+,0.03,0.05,0.11,0.21,0.16,0.12,0.13,0.03,0.04,0.16
AK,HC.gov,All,03-new,"5,909",$704 ,$180 ,0.34,0.85,0.21,0.01,0.12,0.06,0.02,0.84,$623 ,$100 ,0.16,0.09,0.2,0.17,0.16,0.21,0.01,0.49,0.51,0.05,0.02,0.06,0,0.01,0.57,0.01,0.03,0.24,0.02,0.06,0,0.01,0.59,0.02,0.04,0.26,0.75,0.19,0.47,0.53,+,0.31,0.2,0.49,+,0.01,0.03,0.07,0.18,0.17,0.12,0.16,0.09,0.13,0.08
AL,HC.gov,All,01-atv,"115,551",$806 ,$87 ,0.47,0.97,0.71,0.11,0.21,0.38,0,0.97,$742 ,$71 ,0.02,0.09,0.16,0.19,0.22,0.31,0.01,0.41,0.59,0.03,0,0.07,0,0.17,0.6,0.01,0.02,0.11,0,0.07,0,0.17,0.61,0.01,0.02,0.12,0.9,0.07,0.3,0.7,0.01,0.11,0.84,0.05,+,0.01,0.31,0.39,0.23,0.14,0.09,0.09,0.02,0.02,0.01
AL,HC.gov,All,02-aut,"52,846",$752 ,$113 ,0.53,0.9,0.69,0.07,0.18,0.43,0,0.9,$710 ,$54 ,0.02,0.11,0.21,0.2,0.21,0.24,0.01,0.43,0.57,0.03,0.01,0.03,0,0.21,0.47,0,0.02,0.24,0.01,0.03,0,0.21,0.48,0.01,0.02,0.25,0.78,0.19,0.32,0.68,0.01,0.13,0.82,0.04,+,0.04,0.38,0.47,0.22,0.11,0.06,0.06,0.02,0.01,0.02
AL,HC.gov,All,03-new,"50,917",$685 ,$98 ,0.5,0.93,0.65,0.08,0.18,0.38,0,0.93,$633 ,$67 ,0.04,0.15,0.22,0.2,0.19,0.19,0,0.44,0.56,0.03,0,0.03,0,0.2,0.46,0.01,0.02,0.25,0,0.03,0,0.2,0.47,0.01,0.02,0.26,0.78,0.19,0.28,0.72,0.02,0.16,0.76,0.06,+,0.03,0.32,0.4,0.21,0.13,0.07,0.08,0.03,0.04,0.02
AR,HC.gov,All,01-atv,"35,014",$569 ,$133 ,0.15,0.93,0.53,0.14,0.22,0.15,0.01,0.93,$469 ,$109 ,0.1,0.06,0.12,0.16,0.19,0.36,0.01,0.43,0.57,0.04,0.01,0.04,0,0.04,0.59,0,0.01,0.26,0.01,0.04,0,0.04,0.61,0.01,0.02,0.27,0.84,0.12,0.39,0.61,0,0.3,0.67,0.03,+,0,0.03,0.16,0.24,0.21,0.14,0.13,0.04,0.04,0.03
AR,HC.gov,All,02-aut,"29,448",$536 ,$133 ,0.19,0.88,0.58,0.13,0.24,0.2,0.01,0.87,$461 ,$84 ,0.09,0.09,0.16,0.16,0.19,0.29,0.01,0.46,0.54,0.04,0.01,0.02,0,0.06,0.52,0,0.01,0.33,0.01,0.02,0,0.06,0.53,0.01,0.01,0.35,0.77,0.19,0.42,0.58,0,0.23,0.75,0.02,+,0.01,0.06,0.23,0.28,0.18,0.1,0.09,0.03,0.03,0.05
AR,HC.gov,All,03-new,"23,764",$490 ,$138 ,0.24,0.87,0.5,0.09,0.2,0.2,0.01,0.87,$404 ,$95 ,0.12,0.12,0.18,0.17,0.18,0.23,0,0.46,0.54,0.04,0.01,0.03,0,0.06,0.49,0,0.01,0.36,0.01,0.03,0,0.06,0.51,0.01,0.01,0.37,0.73,0.22,0.37,0.63,0,0.35,0.61,0.04,+,0.01,0.04,0.21,0.24,0.17,0.11,0.1,0.04,0.05,0.07
AZ,HC.gov,All,01-atv,"98,134",$578 ,$171 ,0.16,0.88,0.44,0.14,0.17,0.13,0.01,0.88,$465 ,$126 ,0.15,0.07,0.1,0.13,0.18,0.36,0.01,0.45,0.55,0.16,0,0.08,0,0.02,0.5,0.01,0.02,0.22,0,0.08,0,0.02,0.58,0.03,0.03,0.27,0.7,0.14,0.1,0.9,0,0.37,0.59,0.04,+,0.01,0.03,0.13,0.2,0.21,0.13,0.15,0.05,0.06,0.06
AZ,HC.gov,All,02-aut,"52,632",$556 ,$216 ,0.11,0.76,0.43,0.11,0.17,0.15,0.01,0.76,$450 ,$118 ,0.15,0.09,0.16,0.14,0.17,0.28,0.02,0.47,0.53,0.16,0.01,0.06,0,0.02,0.44,0.01,0.02,0.28,0.01,0.06,0,0.02,0.51,0.03,0.03,0.34,0.63,0.2,0.1,0.9,0,0.36,0.6,0.03,+,0.01,0.06,0.17,0.21,0.18,0.1,0.11,0.03,0.04,0.15
AZ,HC.gov,All,03-new,"48,940",$501 ,$161 ,0.2,0.85,0.42,0.11,0.16,0.15,0.01,0.84,$404 ,$111 ,0.16,0.1,0.16,0.14,0.17,0.26,0.01,0.48,0.52,0.16,0,0.05,0,0.03,0.39,0.01,0.02,0.35,0.01,0.05,0,0.03,0.47,0.03,0.03,0.39,0.58,0.27,0.09,0.91,0,0.4,0.55,0.05,+,0.01,0.03,0.16,0.2,0.19,0.12,0.12,0.06,0.07,0.07
CA,SBM,All,01-atv,"475,658",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.06,0.08,0.15,0.15,0.21,0.35,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.21,0.65,0.09,NR,0.01,0.01,0.17,0.24,0.16,0.13,0.14,0.05,0.06,0.04
CA,SBM,All,02-aut,"1,046,209",NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.07,0.09,0.18,0.16,0.2,0.28,0.01,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,NR,0.29,0.56,0.1,NR,0.01,0.01,0.14,0.27,0.15,0.13,0.14,0.04,0.04,0.08
